,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
371,hamilton,39.18,-84.53,34.0,69,90,10.29,US,1609200709
372,yuxia,34.06,108.63,33.8,59,90,6.71,CN,1609200874
373,west plains,36.73,-91.85,42.8,52,1,3.15,US,1609200875
374,disna,55.57,28.2,30.81,97,100,17.34,BY,1609200875
375,sao sebastiao,-23.76,-45.41,75.07,80,36,4.0,BR,1609200875
376,lavrentiya,65.58,-171.0,17.02,94,97,13.96,RU,1609200875
377,bizhbulyak,53.7,54.26,-0.49,93,95,4.76,RU,1609200875
378,dandong,40.13,124.39,16.86,72,100,20.27,CN,1609200875
379,sola,-13.88,167.55,83.1,72,52,7.0,VU,1609200875
380,alyangula,-13.85,136.42,84.2,83,40,8.05,AU,1609200875
381,lompoc,34.64,-120.46,53.6,81,75,5.82,US,1609200683
382,puerto del rosario,28.5,-13.86,66.2,77,40,12.75,ES,1609200875
383,biak,-0.91,122.88,80.06,78,100,4.85,ID,1609200875
